time,gFx,gFy,gFz,TgF
0.001165,0.0391,1.0295,-0.1751,1.045
0.001505,0.0366,1.0310,-0.1712,1.046
0.001725,0.0356,1.0329,-0.1702,1.047
0.001929,0.0317,1.0364,-0.1624,1.049
0.006219,0.0322,1.0334,-0.1541,1.045
0.006508,0.0322,1.0354,-0.1434,1.046
0.011373,0.0273,1.0329,-0.1322,1.042
0.011625,0.0239,1.0315,-0.1224,1.039
0.017104,0.0254,1.0290,-0.1107,1.035
0.017492,0.0254,1.0237,-0.1008,1.029
0.021099,0.0234,1.0217,-0.0940,1.026
0.021472,0.0244,1.0207,-0.0877,1.025
0.021666,0.0249,1.0217,-0.0794,1.025
0.027024,0.0249,1.0168,-0.0750,1.020
0.031717,0.0269,1.0173,-0.0720,1.020
0.032097,0.0308,1.0110,-0.0686,1.014
0.043259,0.0303,1.0119,-0.0618,1.014
0.043675,0.0313,1.0115,-0.0642,1.014
0.043853,0.0386,1.0105,-0.0613,1.013
0.044037,0.0386,1.0115,-0.0642,1.014
0.051159,0.0405,1.0075,-0.0618,1.010
0.051654,0.0420,1.0129,-0.0662,1.016
0.051902,0.0420,1.0100,-0.0701,1.013
0.052093,0.0479,1.0139,-0.0711,1.018
0.052274,0.0479,1.0178,-0.0803,1.022
0.057141,0.0474,1.0149,-0.0818,1.019
0.065031,0.0503,1.0178,-0.0921,1.023
0.065392,0.0474,1.0188,-0.0950,1.024
0.065938,0.0508,1.0193,-0.1004,1.025
0.067379,0.0483,1.0193,-0.1028,1.026
0.071642,0.0508,1.0217,-0.1121,1.029
0.072036,0.0474,1.0217,-0.1116,1.029
0.077372,0.0474,1.0217,-0.1146,1.029
0.077714,0.0527,1.0212,-0.1219,1.030
0.081982,0.0518,1.0251,-0.1219,1.034
0.082462,0.0483,1.0246,-0.1204,1.033
0.086809,0.0483,1.0246,-0.1282,1.034
0.087448,0.0469,1.0261,-0.1229,1.034
0.094777,0.0488,1.0295,-0.1234,1.038
0.095622,0.0474,1.0315,-0.1243,1.040
0.099807,0.0464,1.0325,-0.1234,1.041
0.100287,0.0444,1.0300,-0.1185,1.038
0.102430,0.0425,1.0325,-0.1160,1.040
0.103080,0.0425,1.0329,-0.1146,1.040
0.107570,0.0415,1.0295,-0.1156,1.037
0.108081,0.0386,1.0310,-0.1092,1.037
0.112413,0.0366,1.0325,-0.1082,1.039
0.112887,0.0337,1.0339,-0.1033,1.040
0.117147,0.0352,1.0276,-0.0969,1.033
0.117554,0.0327,1.0295,-0.1004,1.035
0.121394,0.0342,1.0285,-0.0974,1.034
0.122119,0.0308,1.0256,-0.0955,1.031
0.126621,0.0283,1.0256,-0.0925,1.030
0.127793,0.0288,1.0281,-0.0950,1.033
0.135662,0.0298,1.0237,-0.0935,1.028
0.136304,0.0298,1.0261,-0.0940,1.031
0.136607,0.0283,1.0212,-0.0969,1.026
0.136879,0.0283,1.0222,-0.0955,1.027
0.143697,0.0278,1.0256,-0.0964,1.031
0.144198,0.0283,1.0246,-0.0945,1.029
0.144473,0.0264,1.0202,-0.0960,1.025
0.149321,0.0259,1.0198,-0.0964,1.025
0.153843,0.0303,1.0168,-0.0881,1.021
0.154155,0.0288,1.0144,-0.0925,1.019
0.160633,0.0308,1.0154,-0.0925,1.020
0.161004,0.0317,1.0154,-0.0901,1.020
0.166088,0.0298,1.0119,-0.0940,1.017
0.166411,0.0303,1.0129,-0.0896,1.017
0.166560,0.0352,1.0075,-0.0877,1.012
0.166798,0.0361,1.0071,-0.0886,1.012
0.172238,0.0352,1.0085,-0.0906,1.013
0.172585,0.0313,1.0100,-0.0867,1.014
0.177851,0.0391,1.0027,-0.0896,1.007
0.178123,0.0356,1.0041,-0.0881,1.009
0.182625,0.0396,1.0036,-0.0818,1.008
0.183174,0.0396,1.0017,-0.0837,1.006
0.183350,0.0420,1.0017,-0.0803,1.006
0.188768,0.0396,1.0032,-0.0842,1.007
0.193505,0.0439,0.9988,-0.0847,1.003
0.193897,0.0449,0.9997,-0.0823,1.004
0.197809,0.0454,1.0002,-0.0847,1.005
0.198309,0.0449,1.0012,-0.0818,1.006
0.203282,0.0449,1.0007,-0.0769,1.005
0.203666,0.0444,0.9997,-0.0764,1.004
0.211214,0.0425,0.9988,-0.0798,1.003
0.211765,0.0444,0.9997,-0.0808,1.004
0.215346,0.0444,1.0027,-0.0798,1.007
0.215846,0.0469,1.0022,-0.0789,1.006
0.218657,0.0439,1.0046,-0.0779,1.009
0.219332,0.0464,1.0056,-0.0745,1.009
0.223300,0.0518,1.0022,-0.0735,1.006
0.223762,0.0444,1.0046,-0.0691,1.008
0.227599,0.0508,1.0032,-0.0662,1.007
0.227932,0.0533,1.0041,-0.0618,1.007
0.233579,0.0562,1.0002,-0.0574,1.003
0.233998,0.0601,0.9988,-0.0549,1.002
