time,gFx,gFy,gFz,TgF
8.22969E-4,0.0317,0.1388,0.9184,0.929
0.001165937,0.0347,0.1354,0.9164,0.927
0.005049323,0.0361,0.1364,0.9110,0.922
0.005361614,0.0381,0.1334,0.9096,0.920
0.016894844,0.0356,0.1325,0.9071,0.917
0.017219114,0.0337,0.1310,0.9086,0.919
0.01738401,0.0308,0.1339,0.9110,0.921
0.017506146,0.0298,0.1388,0.9169,0.928
0.020774219,0.0244,0.1437,0.9213,0.933
0.021089687,0.0181,0.1452,0.9242,0.936
0.02754026,0.0166,0.1432,0.9306,0.942
0.027806458,0.0107,0.1422,0.9442,0.955
0.027936719,0.0103,0.1447,0.9521,0.963
0.028047448,0.0107,0.1432,0.9619,0.973
0.034477969,0.0107,0.1452,0.9731,0.984
0.034902239,0.0088,0.1393,0.9804,0.990
0.038454375,0.0073,0.1417,0.9853,0.995
0.038784844,0.0093,0.1422,0.9961,1.006
0.04414651,0.0088,0.1437,1.0044,1.015
0.045408177,0.0063,0.1388,1.0117,1.021
0.049066198,0.0078,0.1349,1.0132,1.022
0.049375677,0.0068,0.1364,1.0200,1.029
0.054027656,0.0054,0.1373,1.0200,1.029
0.054351979,0.0039,0.1378,1.0224,1.032
0.058464687,0.0073,0.1315,1.0249,1.033
0.058799635,0.0078,0.1315,1.0288,1.037
0.058958437,0.0068,0.1295,1.0288,1.037
0.063225781,0.0054,0.1286,1.0229,1.031
0.068226198,0.0015,0.1325,1.0259,1.034
0.068812239,0.0044,0.1320,1.0273,1.036
0.073660312,0.0010,0.1256,1.0288,1.036
0.074147396,0.0039,0.1266,1.0268,1.035
0.078410573,0.0020,0.1251,1.0254,1.033
0.078842917,0.0044,0.1276,1.0239,1.032
0.084014375,0.0034,0.1256,1.0195,1.027
0.084511406,0.0020,0.1266,1.0185,1.026
0.089346927,0.0059,0.1281,1.0176,1.026
0.089808437,0.0083,0.1290,1.0176,1.026
0.090134323,0.0063,0.1286,1.0156,1.024
0.096419635,0.0083,0.1300,1.0005,1.009
0.098692083,0.0063,0.1281,1.0029,1.011
0.100708958,0.0107,0.1344,0.9927,1.002
0.104363177,0.0093,0.1329,0.9927,1.002
0.104929739,0.0107,0.1295,0.9873,0.996
0.108917864,0.0073,0.1354,0.9834,0.993
0.109372135,0.0098,0.1349,0.9819,0.991
0.115405781,0.0088,0.1329,0.9800,0.989
0.11569401,0.0122,0.1344,0.9707,0.980
0.119318073,0.0122,0.1344,0.9702,0.980
0.119744635,0.0146,0.1369,0.9697,0.979
0.123959271,0.0137,0.1329,0.9668,0.976
0.124442864,0.0127,0.1320,0.9668,0.976
0.129483698,0.0132,0.1354,0.9663,0.976
0.130038594,0.0103,0.1383,0.9682,0.978
0.130377604,0.0107,0.1295,0.9692,0.978
0.134153594,0.0137,0.1373,0.9673,0.977
0.140481458,0.0112,0.1359,0.9687,0.978
0.141173802,0.0146,0.1369,0.9682,0.978
0.147541041,0.0171,0.1325,0.9731,0.982
0.148174166,0.0137,0.1373,0.9692,0.979
0.148515677,0.0142,0.1403,0.9721,0.982
0.149035573,0.0127,0.1417,0.9736,0.984
0.154702864,0.0132,0.1383,0.9751,0.985
0.155171927,0.0098,0.1393,0.9731,0.983
0.159393281,0.0093,0.1383,0.9751,0.985
0.159908333,0.0117,0.1364,0.9770,0.987
0.165387187,0.0083,0.1412,0.9829,0.993
0.16572,0.0054,0.1398,0.9804,0.990
0.165881406,0.0093,0.1373,0.9814,0.991
0.169282187,0.0073,0.1359,0.9790,0.988
0.174980364,0.0073,0.1369,0.9814,0.991
0.175275,0.0068,0.1359,0.9844,0.994
0.180516094,0.0044,0.1354,0.9858,0.995
0.181068073,0.0073,0.1349,0.9897,0.999
0.185124739,0.0088,0.1310,0.9863,0.995
0.185647708,0.0049,0.1334,0.9858,0.995
0.190651823,0.0098,0.1300,0.9892,0.998
0.191138802,0.0015,0.1329,0.9922,1.001
0.191445573,0.0029,0.1325,0.9873,0.996
0.197850469,-0.0015,0.1364,0.9902,1.000
