time,gFx,gFy,gFz,TgF
0.001231303,-0.0005,1.0285,-0.0510,1.030
0.001727813,0.0029,1.0310,-0.0466,1.032
0.002020782,0.0039,1.0349,-0.0447,1.036
0.002410209,0.0063,1.0344,-0.0447,1.035
0.012088907,0.0054,1.0364,-0.0378,1.037
0.01237099,0.0049,1.0349,-0.0422,1.036
0.012508073,0.0117,1.0393,-0.0418,1.040
0.012636198,0.0112,1.0325,-0.0452,1.034
0.017838698,0.0088,1.0364,-0.0452,1.037
0.018113021,0.0117,1.0310,-0.0452,1.032
0.023845938,0.0122,1.0276,-0.0452,1.029
0.024695313,0.0142,1.0212,-0.0393,1.022
0.026763803,0.0146,1.0256,-0.0408,1.027
0.027167448,0.0171,1.0183,-0.0393,1.019
0.031287657,0.0171,1.0207,-0.0305,1.021
0.031599636,0.0117,1.0202,-0.0325,1.021
0.036694896,0.0107,1.0222,-0.0295,1.023
0.037056146,0.0068,1.0217,-0.0335,1.022
0.042136875,0.0010,1.0261,-0.0291,1.027
0.042681355,-0.0039,1.0246,-0.0339,1.025
0.04723823,-0.0088,1.0212,-0.0354,1.022
0.04775849,-0.0098,1.0232,-0.0349,1.024
0.051756928,-0.0151,1.0242,-0.0364,1.025
0.052162136,-0.0176,1.0251,-0.0393,1.026
0.056881928,-0.0190,1.0222,-0.0398,1.023
0.057737865,-0.0215,1.0217,-0.0437,1.023
0.061828542,-0.0166,1.0256,-0.0393,1.027
0.062305261,-0.0254,1.0251,-0.0442,1.026
0.068340678,-0.0239,1.0266,-0.0418,1.028
0.069154323,-0.0239,1.0295,-0.0452,1.031
0.072491771,-0.0264,1.0359,-0.0481,1.037
0.073148907,-0.0259,1.0349,-0.0540,1.037
0.077616146,-0.0249,1.0403,-0.0540,1.042
0.078071823,-0.0298,1.0364,-0.0584,1.038
0.092037344,-0.0293,1.0383,-0.0579,1.040
0.092950886,-0.0308,1.0354,-0.0618,1.038
0.093607553,-0.0293,1.0437,-0.0637,1.046
0.094111511,-0.0278,1.0408,-0.0647,1.043
0.094551303,-0.0254,1.0452,-0.0632,1.047
0.094976407,-0.0225,1.0427,-0.0667,1.045
0.099423073,-0.0239,1.0373,-0.0657,1.040
0.100270261,-0.0195,1.0408,-0.0662,1.043
0.101806563,-0.0210,1.0412,-0.0667,1.044
0.102539167,-0.0186,1.0364,-0.0637,1.038
0.10772349,-0.0190,1.0339,-0.0637,1.036
0.108523698,-0.0171,1.0329,-0.0613,1.035
0.112417553,-0.0117,1.0310,-0.0593,1.033
0.113529375,-0.0122,1.0266,-0.0559,1.028
0.122384584,-0.0103,1.0222,-0.0584,1.024
0.12270349,-0.0103,1.0193,-0.0588,1.021
0.122844948,-0.0117,1.0202,-0.0593,1.022
0.122965886,-0.0098,1.0159,-0.0598,1.018
0.128297188,-0.0044,1.0163,-0.0559,1.018
0.12863875,-0.0063,1.0139,-0.0535,1.015
0.132841511,-0.0068,1.0080,-0.0491,1.009
0.133362813,-0.0010,1.0100,-0.0486,1.011
0.140214844,-0.0024,1.0115,-0.0540,1.013
0.140624584,-0.0024,1.0144,-0.0461,1.015
0.140845105,-0.0063,1.0154,-0.0486,1.017
