time,gFx,gFy,gFz,TgF
0.001286,0.0513,1.0119,-0.0325,1.014
0.001607,0.0503,1.0168,-0.0359,1.019
0.004083,0.0508,1.0193,-0.0369,1.021
0.004448,0.0518,1.0193,-0.0335,1.021
0.009132,0.0518,1.0246,-0.0369,1.027
0.009356,0.0548,1.0227,-0.0310,1.025
0.013661,0.0587,1.0261,-0.0305,1.028
0.013884,0.0611,1.0325,-0.0266,1.035
0.014002,0.0557,1.0251,-0.0242,1.027
0.018307,0.0587,1.0329,-0.0154,1.035
0.027712,0.0611,1.0344,-0.0134,1.036
0.028071,0.0552,1.0349,-0.0090,1.036
0.032646,0.0518,1.0334,-0.0002,1.035
0.033013,0.0479,1.0344,0.0018,1.036
0.033186,0.0469,1.0364,0.0062,1.037
0.033333,0.0449,1.0373,0.0086,1.038
0.038616,0.0435,1.0388,0.0159,1.040
0.038996,0.0400,1.0378,0.0169,1.039
0.043394,0.0381,1.0378,0.0252,1.039
0.043765,0.0356,1.0325,0.0277,1.033
0.049546,0.0361,1.0339,0.0291,1.035
0.049886,0.0303,1.0320,0.0350,1.033
0.050042,0.0322,1.0334,0.0350,1.035
0.053467,0.0313,1.0276,0.0369,1.029
0.059186,0.0313,1.0276,0.0355,1.029
0.059571,0.0317,1.0242,0.0374,1.025
0.065451,0.0293,1.0207,0.0394,1.022
0.065748,0.0269,1.0227,0.0403,1.024
0.070994,0.0303,1.0198,0.0330,1.021
0.071346,0.0308,1.0251,0.0340,1.026
0.074589,0.0352,1.0232,0.0291,1.024
0.075016,0.0371,1.0222,0.0316,1.023
0.079479,0.0366,1.0183,0.0291,1.019
0.079763,0.0405,1.0227,0.0242,1.024
0.084766,0.0430,1.0159,0.0208,1.017
0.085103,0.0439,1.0193,0.0174,1.020
0.085237,0.0459,1.0207,0.0154,1.022
0.088907,0.0498,1.0212,0.0164,1.023
0.093580,0.0493,1.0149,0.0150,1.016
0.093940,0.0508,1.0144,0.0154,1.016
0.099699,0.0552,1.0119,0.0140,1.014
0.100030,0.0562,1.0188,0.0135,1.020
0.104390,0.0582,1.0129,0.0179,1.015
0.104659,0.0591,1.0139,0.0169,1.016
0.108874,0.0635,1.0139,0.0135,1.016
0.109170,0.0631,1.0134,0.0135,1.015
0.114433,0.0645,1.0129,0.0150,1.015
0.114781,0.0655,1.0149,0.0169,1.017
0.119567,0.0670,1.0119,0.0223,1.014
0.119899,0.0753,1.0134,0.0213,1.016
0.124436,0.0718,1.0100,0.0242,1.013
0.124776,0.0728,1.0144,0.0233,1.017
0.129534,0.0733,1.0129,0.0203,1.016
0.129816,0.0738,1.0168,0.0257,1.020
0.133895,0.0738,1.0183,0.0237,1.021
0.134228,0.0733,1.0159,0.0277,1.019
0.139918,0.0738,1.0188,0.0252,1.022
0.140200,0.0723,1.0198,0.0237,1.023
0.140355,0.0684,1.0222,0.0277,1.025
0.145877,0.0772,1.0222,0.0252,1.025
0.150362,0.0884,1.0173,0.0194,1.021
0.151020,0.0841,1.0227,0.0208,1.026
0.154740,0.0758,1.0237,0.0228,1.027
0.155098,0.0748,1.0217,0.0237,1.025
0.159803,0.0767,1.0222,0.0281,1.025
0.160250,0.0777,1.0261,0.0291,1.029
0.164457,0.0933,1.0222,0.0301,1.027
0.164763,0.1065,1.0271,0.0291,1.033
0.170156,0.1085,1.0300,0.0247,1.036
0.170569,0.1070,1.0290,0.0277,1.035
0.176238,0.1055,1.0305,0.0262,1.036
0.176662,0.1060,1.0315,0.0242,1.037
0.178986,0.1104,1.0285,0.0281,1.035
0.179431,0.1075,1.0344,0.0257,1.040
0.184668,0.1036,1.0329,0.0233,1.038
0.185041,0.0938,1.0359,0.0247,1.040
0.189657,0.0904,1.0354,0.0237,1.040
0.189896,0.0821,1.0354,0.0198,1.039
0.193985,0.0777,1.0364,0.0159,1.039
0.194356,0.0787,1.0368,0.0135,1.040
0.194496,0.0777,1.0310,0.0106,1.034
0.199967,0.0714,1.0285,0.0081,1.031
0.205860,0.0694,1.0305,0.0047,1.033
0.206106,0.0694,1.0285,0.0008,1.031
0.208595,0.0665,1.0310,-0.0017,1.033
0.208969,0.0621,1.0281,-0.0085,1.030
0.214733,0.0611,1.0246,-0.0144,1.027
0.215026,0.0601,1.0212,-0.0154,1.023
0.219671,0.0596,1.0232,-0.0173,1.025
0.220037,0.0587,1.0222,-0.0193,1.024
0.224401,0.0557,1.0212,-0.0227,1.023
0.224736,0.0577,1.0237,-0.0222,1.026
0.229997,0.0577,1.0207,-0.0232,1.023
0.230262,0.0518,1.0242,-0.0266,1.026
0.234515,0.0513,1.0242,-0.0208,1.026
0.234986,0.0498,1.0256,-0.0222,1.027
0.239723,0.0435,1.0251,-0.0203,1.026
0.240013,0.0415,1.0227,-0.0183,1.024
0.244189,0.0386,1.0285,-0.0105,1.029
0.244559,0.0381,1.0305,-0.0095,1.031
0.254308,0.0376,1.0276,-0.0120,1.028
0.254978,0.0337,1.0290,-0.0071,1.030
0.256707,0.0303,1.0290,-0.0046,1.029
0.257005,0.0269,1.0339,-0.0061,1.034
0.260353,0.0278,1.0256,-0.0042,1.026
0.260750,0.0283,1.0281,-0.0027,1.028
0.265419,0.0254,1.0305,-0.0027,1.031
0.265718,0.0234,1.0300,-0.0022,1.030
0.271419,0.0220,1.0325,-0.0012,1.033
0.271904,0.0186,1.0227,-0.0022,1.023
0.274526,0.0220,1.0237,-0.0051,1.024
0.274925,0.0259,1.0237,-0.0032,1.024
0.280039,0.0205,1.0212,0.0032,1.021
0.280302,0.0220,1.0193,-0.0042,1.020
0.284583,0.0244,1.0193,-0.0027,1.020
0.285195,0.0239,1.0198,-0.0012,1.020
0.290084,0.0249,1.0173,-0.0027,1.018
0.290343,0.0239,1.0178,-0.0042,1.018
0.294618,0.0269,1.0154,-0.0037,1.016
0.295317,0.0259,1.0100,-0.0061,1.010
0.300129,0.0259,1.0139,-0.0032,1.014
0.300632,0.0249,1.0110,-0.0037,1.011
0.305471,0.0273,1.0119,-0.0056,1.012
0.305743,0.0259,1.0090,-0.0037,1.009
0.309334,0.0269,1.0129,-0.0066,1.013
0.309674,0.0298,1.0159,-0.0105,1.016
0.315550,0.0298,1.0139,-0.0095,1.014
0.315813,0.0259,1.0149,-0.0090,1.015
0.320411,0.0283,1.0144,-0.0120,1.015
0.320894,0.0244,1.0212,-0.0173,1.022
0.330007,0.0283,1.0212,-0.0144,1.022
0.330750,0.0293,1.0222,-0.0139,1.023
0.331064,0.0249,1.0202,-0.0125,1.021
0.331330,0.0283,1.0227,-0.0144,1.023
0.335209,0.0288,1.0217,-0.0178,1.022
0.335631,0.0303,1.0261,-0.0173,1.027
0.339729,0.0303,1.0246,-0.0183,1.025
0.340122,0.0269,1.0237,-0.0168,1.024
0.345797,0.0308,1.0281,-0.0178,1.029
0.346565,0.0269,1.0261,-0.0164,1.027
0.350363,0.0278,1.0237,-0.0154,1.024
0.351331,0.0249,1.0295,-0.0139,1.030
0.355816,0.0254,1.0242,-0.0168,1.025
0.356275,0.0249,1.0271,-0.0183,1.028
0.362012,0.0269,1.0295,-0.0183,1.030
0.362943,0.0244,1.0276,-0.0159,1.028
0.363231,0.0215,1.0285,-0.0178,1.029
0.365269,0.0249,1.0300,-0.0164,1.030
0.372694,0.0220,1.0305,-0.0134,1.031
0.373433,0.0195,1.0295,-0.0120,1.030
0.375256,0.0225,1.0339,-0.0149,1.034
0.375661,0.0215,1.0310,-0.0203,1.031
0.375908,0.0210,1.0290,-0.0159,1.029
0.381479,0.0220,1.0364,-0.0168,1.037
0.388985,0.0249,1.0359,-0.0198,1.036
0.389719,0.0254,1.0310,-0.0159,1.031
0.390014,0.0283,1.0359,-0.0212,1.036
0.390274,0.0273,1.0359,-0.0203,1.036
0.396535,0.0303,1.0349,-0.0183,1.036
0.396953,0.0308,1.0359,-0.0183,1.036
0.401355,0.0317,1.0364,-0.0193,1.037
0.402090,0.0293,1.0373,-0.0173,1.038
0.406863,0.0332,1.0339,-0.0188,1.035
0.407332,0.0342,1.0398,-0.0178,1.040
0.407582,0.0376,1.0427,-0.0173,1.044
0.413700,0.0317,1.0359,-0.0159,1.036
0.416027,0.0317,1.0437,-0.0183,1.044
0.416480,0.0352,1.0403,-0.0198,1.041
0.422011,0.0308,1.0378,-0.0203,1.038
0.422461,0.0347,1.0417,-0.0183,1.042
0.427843,0.0342,1.0378,-0.0173,1.039
0.428344,0.0322,1.0452,-0.0183,1.046
0.428612,0.0337,1.0364,-0.0168,1.037
0.430035,0.0317,1.0388,-0.0203,1.039
0.439210,0.0352,1.0339,-0.0193,1.035
0.440036,0.0366,1.0383,-0.0232,1.039
0.442792,0.0356,1.0368,-0.0222,1.038
0.443225,0.0352,1.0359,-0.0203,1.037
0.447177,0.0327,1.0393,-0.0232,1.040
0.447640,0.0371,1.0349,-0.0242,1.036
0.450805,0.0386,1.0354,-0.0271,1.036
0.451639,0.0376,1.0300,-0.0261,1.031
0.456501,0.0352,1.0315,-0.0286,1.032
0.456947,0.0327,1.0325,-0.0281,1.033
0.460616,0.0361,1.0295,-0.0300,1.031
0.461374,0.0337,1.0295,-0.0291,1.030
0.468951,0.0376,1.0310,-0.0339,1.032
0.469736,0.0347,1.0339,-0.0349,1.035
0.472086,0.0356,1.0320,-0.0305,1.033
0.472542,0.0322,1.0315,-0.0339,1.033
0.476504,0.0327,1.0329,-0.0369,1.034
0.477263,0.0352,1.0290,-0.0339,1.030
0.481533,0.0366,1.0315,-0.0359,1.033
0.481987,0.0332,1.0325,-0.0354,1.034
0.486441,0.0317,1.0305,-0.0320,1.031
0.487370,0.0361,1.0320,-0.0344,1.033
0.492735,0.0361,1.0271,-0.0344,1.028
0.493628,0.0361,1.0285,-0.0330,1.030
0.493912,0.0327,1.0305,-0.0344,1.032
0.496519,0.0366,1.0271,-0.0295,1.028
0.500845,0.0352,1.0305,-0.0300,1.032
0.501610,0.0352,1.0251,-0.0305,1.026
0.506622,0.0391,1.0290,-0.0330,1.030
