time,gFx,gFy,gFz,TgF
0.001180417,0.0137,1.0256,-0.1126,1.032
0.001532292,0.0151,1.0227,-0.1082,1.029
0.001787865,0.0151,1.0251,-0.1082,1.031
0.002026094,0.0103,1.0251,-0.1043,1.030
0.006032292,0.0127,1.0222,-0.1077,1.028
0.006328438,0.0137,1.0266,-0.1047,1.032
0.006496823,0.0137,1.0281,-0.1008,1.033
0.011994271,0.0142,1.0266,-0.1047,1.032
0.017051875,0.0122,1.0281,-0.1062,1.034
0.017351927,0.0137,1.0290,-0.1082,1.035
0.021414011,0.0132,1.0266,-0.1087,1.032
0.021683125,0.0112,1.0271,-0.1092,1.033
0.027836458,0.0088,1.0276,-0.1062,1.033
0.028842083,0.0122,1.0251,-0.1097,1.031
0.029463594,0.0093,1.0242,-0.1131,1.030
0.030864115,0.0112,1.0227,-0.1136,1.029
0.035904167,0.0132,1.0242,-0.1126,1.030
0.036966302,0.0083,1.0242,-0.1107,1.030
0.040574792,0.0078,1.0246,-0.1082,1.030
0.04259724,0.0073,1.0246,-0.1102,1.031
0.046871406,0.0112,1.0256,-0.1126,1.032
0.047131667,0.0083,1.0217,-0.1102,1.028
0.050651458,0.0063,1.0246,-0.1107,1.031
0.050947708,0.0054,1.0271,-0.1141,1.033
0.055705261,0.0088,1.0246,-0.1097,1.031
0.055967188,0.0088,1.0261,-0.1116,1.032
0.062585886,0.0132,1.0227,-0.1102,1.029
0.06297849,0.0117,1.0251,-0.1067,1.031
0.065975104,0.0132,1.0242,-0.1057,1.030
0.066839219,0.0107,1.0261,-0.1107,1.032
0.069423854,0.0132,1.0251,-0.1077,1.031
0.070491823,0.0156,1.0285,-0.1126,1.035
0.075754219,0.0132,1.0251,-0.1092,1.031
0.076037448,0.0132,1.0285,-0.1092,1.034
0.080633854,0.0132,1.0212,-0.1112,1.027
0.080881354,0.0093,1.0261,-0.1062,1.032
0.085559375,0.0112,1.0237,-0.1112,1.030
0.085891458,0.0083,1.0212,-0.1097,1.027
0.090794896,0.0117,1.0212,-0.1102,1.027
0.091058333,0.0103,1.0212,-0.1102,1.027
0.097233542,0.0117,1.0217,-0.1102,1.028
0.097671354,0.0103,1.0212,-0.1097,1.027
0.101806979,0.0093,1.0212,-0.1092,1.027
0.102778021,0.0068,1.0198,-0.1082,1.026
0.106277969,0.0112,1.0202,-0.1107,1.026
0.106564688,0.0083,1.0207,-0.1102,1.027
0.110846302,0.0078,1.0232,-0.1131,1.029
0.111149167,0.0073,1.0246,-0.1107,1.031
0.116627865,0.0098,1.0237,-0.1082,1.029
0.116927708,0.0083,1.0227,-0.1146,1.029
0.117078386,0.0103,1.0281,-0.1116,1.034
0.120923073,0.0127,1.0256,-0.1136,1.032
